name,TP,FN,FP,perf_cases,sim_mean,ranking
p0045,28,2,3,7,0.665,49.4
p0089,12,0,1,6,0.843,79.3
p0138,11,2,9,4,0.902,19.4
p0154,29,11,0,6,0.81,31.225
p0289,15,12,3,4,0.551,-20.5
p0394,24,1,4,5,0.74,57.44
p0513,17,3,4,7,0.785,39.725
p0515,14,12,0,5,0.853,-0.223
p0569,13,24,2,6,0.828,-39.016
p0657,20,2,4,10,0.906,62.364
p0730,25,8,6,6,0.838,28.333
p0788,21,9,4,4,0.808,18.56
total,229,86,40,70,0.787,22.293
