preprocess,lang,method,TP,FN,FP,perf_cases,sim_mean,ranking
none,deu,1,25,8,6,6,0.838,28.333
thresh,deu,1,25,8,6,6,0.838,28.333
none,frk+deu+pol,1,24,9,7,8,0.9,25.455
thresh,frk+deu+pol,1,24,9,7,8,0.9,25.455
thresh,pol+deu+frk,1,24,9,7,7,0.886,24.436
none,pol+deu+frk,1,24,9,7,7,0.886,24.436
none,frk+deu,1,24,9,7,6,0.885,24.364
thresh,frk+deu,1,24,9,7,6,0.885,24.364
none,frk,1,24,9,7,6,0.882,24.145
thresh,frk,1,24,9,7,6,0.882,24.145
thresh,deu,2,25,8,6,5,0.75,21.667
none,deu,2,25,8,6,5,0.75,21.667
none,frk+deu+pol,2,24,9,8,7,0.816,17.527
thresh,frk+deu+pol,2,24,9,8,7,0.816,17.527
none,pol+deu+frk,2,24,9,8,6,0.805,16.727
thresh,pol+deu+frk,2,24,9,8,6,0.805,16.727
none,frk,2,24,9,8,6,0.802,16.509
thresh,frk,2,24,9,8,6,0.802,16.509
none,frk+deu,2,24,9,8,5,0.802,16.509
thresh,frk+deu,2,24,9,8,5,0.802,16.509
none,pol,1,24,9,7,4,0.764,15.564
thresh,pol,1,24,9,7,4,0.764,15.564
thresh,pol,2,24,9,7,4,0.699,10.836
none,pol,2,24,9,7,4,0.699,10.836
blur,frk,1,13,20,2,6,0.886,-29.339
blur,frk+deu,1,13,20,2,5,0.873,-29.852
blur,frk+deu+pol,1,13,20,2,5,0.87,-29.97
blur,pol+deu+frk,1,13,20,2,4,0.853,-30.639
blur,deu,1,13,20,2,2,0.825,-31.742
blur,pol,1,13,20,2,2,0.769,-33.948
blur,frk,2,12,21,3,6,0.889,-36.764
blur,frk+deu,2,12,21,3,5,0.874,-37.309
blur,deu,2,12,21,2,2,0.822,-37.382
blur,frk+deu+pol,2,12,21,3,5,0.871,-37.418
blur,pol+deu+frk,2,12,21,3,4,0.853,-38.073
blur,pol,2,12,21,3,2,0.762,-41.382
