preprocess,lang,method,TP,FN,FP,perf_cases,sim_mean,ranking
blur,frk,1,36,4,0,22,0.96,76.4
blur,frk+deu,1,36,4,0,22,0.957,76.13
blur,frk+deu+pol,1,36,4,0,22,0.955,75.95
blur,pol+deu+frk,1,36,4,0,21,0.937,74.33
blur,frk,2,38,2,0,17,0.809,71.855
blur,frk+deu,2,38,2,0,18,0.808,71.76
blur,frk+deu+pol,2,38,2,0,18,0.806,71.57
blur,pol+deu+frk,2,38,2,0,17,0.795,70.525
blur,deu,1,36,4,0,8,0.879,69.11
blur,deu,2,38,2,0,7,0.729,64.255
thresh,frk,2,35,5,2,12,0.788,53.45
none,frk,2,35,5,2,12,0.788,53.45
none,frk+deu+pol,2,35,5,1,11,0.769,53.288
none,pol+deu+frk,2,35,5,1,11,0.769,53.288
thresh,frk+deu+pol,2,35,5,1,11,0.769,53.288
thresh,pol+deu+frk,2,35,5,1,11,0.769,53.288
thresh,frk+deu,2,35,5,2,11,0.771,51.962
none,frk+deu,2,35,5,2,11,0.771,51.962
blur,pol,2,38,2,0,3,0.578,49.91
blur,pol,1,36,4,0,3,0.657,49.13
none,deu,2,35,5,1,6,0.699,47.163
thresh,deu,2,35,5,1,6,0.699,47.163
none,pol,2,36,4,0,1,0.586,42.74
thresh,pol,2,36,4,0,1,0.586,42.74
none,frk,1,29,11,0,16,0.95,41.375
thresh,frk,1,29,11,0,16,0.95,41.375
none,pol+deu+frk,1,29,11,0,14,0.943,40.867
thresh,pol+deu+frk,1,29,11,0,14,0.943,40.867
none,frk+deu,1,29,11,0,14,0.937,40.433
thresh,frk+deu,1,29,11,0,14,0.937,40.433
thresh,frk+deu+pol,1,29,11,0,14,0.936,40.36
none,frk+deu+pol,1,29,11,0,14,0.936,40.36
none,deu,1,29,11,0,6,0.81,31.225
thresh,deu,1,29,11,0,6,0.81,31.225
none,pol,1,30,10,0,1,0.738,30.35
thresh,pol,1,30,10,0,1,0.738,30.35
