preprocess,lang,method,TP,FN,FP,perf_cases,sim_mean,ranking
blur,pol,1,26,0,0,4,0.664,66.4
blur,frk,1,26,0,0,7,0.635,63.5
blur,frk+deu+pol,1,25,1,0,12,0.685,62.019
blur,pol+deu+frk,1,25,1,0,11,0.671,60.673
blur,frk+deu,1,25,1,0,10,0.663,59.904
blur,deu,1,25,1,0,4,0.657,59.327
blur,frk,2,21,5,1,7,0.715,36.212
blur,frk+deu+pol,2,20,6,1,10,0.793,35.615
blur,frk+deu,2,20,6,1,10,0.788,35.231
blur,pol+deu+frk,2,20,6,1,10,0.788,35.231
blur,deu,2,20,6,1,4,0.708,29.077
blur,pol,2,21,5,1,2,0.608,27.569
none,deu,1,14,12,0,5,0.853,-0.223
thresh,deu,1,14,12,0,5,0.853,-0.223
none,pol,1,14,12,0,5,0.817,-2.162
thresh,pol,1,14,12,0,5,0.817,-2.162
thresh,pol+deu+frk,1,14,12,0,7,0.752,-5.662
thresh,frk+deu+pol,1,14,12,0,7,0.752,-5.662
none,pol+deu+frk,1,14,12,0,7,0.752,-5.662
none,frk+deu+pol,1,14,12,0,7,0.752,-5.662
none,frk+deu,1,14,12,0,5,0.729,-6.9
thresh,frk+deu,1,14,12,0,5,0.729,-6.9
none,frk,1,14,12,0,4,0.691,-8.946
thresh,frk,1,14,12,0,4,0.691,-8.946
none,frk+deu+pol,2,9,17,1,4,0.78,-40.692
none,pol+deu+frk,2,9,17,1,4,0.78,-40.692
none,frk+deu,2,9,17,1,4,0.78,-40.692
thresh,frk+deu+pol,2,9,17,1,4,0.78,-40.692
thresh,pol+deu+frk,2,9,17,1,4,0.78,-40.692
thresh,frk+deu,2,9,17,1,4,0.78,-40.692
none,frk,2,9,17,1,2,0.733,-42.319
thresh,frk,2,9,17,1,2,0.733,-42.319
none,deu,2,9,17,1,2,0.688,-43.877
thresh,deu,2,9,17,1,2,0.688,-43.877
none,pol,2,9,17,1,1,0.618,-46.3
thresh,pol,2,9,17,1,1,0.618,-46.3
