preprocess,lang,method,TP,FN,FP,perf_cases,sim_mean,ranking
blur,deu,1,21,6,2,4,0.828,37.733
blur,frk,2,21,6,4,13,0.847,34.767
blur,frk+deu+pol,2,21,6,4,11,0.825,33.056
blur,pol+deu+frk,2,21,6,4,11,0.825,33.056
blur,frk+deu,2,21,6,4,11,0.825,33.056
blur,frk,1,21,6,2,13,0.728,29.956
blur,frk+deu+pol,1,21,6,2,11,0.706,28.244
blur,pol+deu+frk,1,21,6,2,11,0.706,28.244
blur,frk+deu,1,21,6,2,11,0.706,28.244
blur,deu,2,21,6,4,4,0.757,27.767
blur,pol,1,20,7,2,1,0.68,20.0
blur,pol,2,20,7,3,1,0.641,14.889
none,frk+deu+pol,2,15,12,4,8,0.83,-7.222
none,pol+deu+frk,2,15,12,4,8,0.83,-7.222
thresh,frk+deu+pol,2,15,12,4,8,0.83,-7.222
thresh,pol+deu+frk,2,15,12,4,8,0.83,-7.222
none,frk,2,15,12,5,9,0.839,-8.944
thresh,frk,2,15,12,5,9,0.839,-8.944
none,frk+deu,2,15,12,5,9,0.838,-9.0
thresh,frk+deu,2,15,12,5,9,0.838,-9.0
thresh,deu,2,15,12,4,4,0.761,-11.056
none,deu,2,15,12,4,4,0.761,-11.056
none,pol,1,15,12,2,0,0.674,-11.444
thresh,pol,1,15,12,2,0,0.674,-11.444
none,pol,2,15,12,3,0,0.613,-17.056
thresh,pol,2,15,12,3,0,0.613,-17.056
thresh,pol+deu+frk,1,15,12,3,8,0.606,-17.444
thresh,frk+deu+pol,1,15,12,3,8,0.606,-17.444
none,pol+deu+frk,1,15,12,3,8,0.606,-17.444
none,frk+deu+pol,1,15,12,3,8,0.606,-17.444
none,frk,1,15,12,4,9,0.616,-19.111
thresh,frk,1,15,12,4,9,0.616,-19.111
none,frk+deu,1,15,12,4,9,0.614,-19.222
thresh,frk+deu,1,15,12,4,9,0.614,-19.222
none,deu,1,15,12,3,4,0.551,-20.5
thresh,deu,1,15,12,3,4,0.551,-20.5
