preprocess,lang,method,TP,FN,FP,perf_cases,sim_mean,ranking
thresh,frk+deu,1,13,24,1,6,0.771,-39.397
none,frk+deu,1,13,24,1,6,0.771,-39.397
none,frk+deu+pol,1,13,24,1,5,0.752,-40.065
thresh,frk+deu+pol,1,13,24,1,5,0.752,-40.065
none,pol+deu+frk,1,13,24,1,5,0.749,-40.17
thresh,pol+deu+frk,1,13,24,1,5,0.749,-40.17
none,deu,1,13,24,2,4,0.753,-41.651
thresh,deu,1,13,24,2,4,0.753,-41.651
blur,frk+deu+pol,1,12,25,0,3,0.749,-43.276
blur,frk+deu,1,12,25,0,3,0.741,-43.535
none,pol,1,13,24,1,1,0.65,-43.649
thresh,pol,1,13,24,1,1,0.65,-43.649
blur,frk,1,12,25,0,2,0.729,-43.924
blur,pol+deu+frk,1,12,25,0,1,0.726,-44.022
blur,deu,1,12,25,1,4,0.758,-44.605
none,frk,1,12,25,2,5,0.772,-45.773
thresh,frk,1,12,25,2,5,0.772,-45.773
blur,pol,1,12,25,0,2,0.626,-47.265
blur,frk,2,1,36,2,0,0.321,-99.673
blur,deu,2,1,36,2,0,0.286,-99.768
blur,frk+deu,2,1,36,2,0,0.286,-99.768
blur,frk+deu+pol,2,1,36,2,0,0.286,-99.768
blur,pol+deu+frk,2,1,36,2,0,0.286,-99.768
none,deu,2,1,36,2,0,0.286,-99.768
none,frk+deu,2,1,36,2,0,0.286,-99.768
none,frk+deu+pol,2,1,36,2,0,0.286,-99.768
thresh,deu,2,1,36,2,0,0.286,-99.768
thresh,frk+deu,2,1,36,2,0,0.286,-99.768
thresh,frk+deu+pol,2,1,36,2,0,0.286,-99.768
none,pol,2,1,36,2,0,0.25,-99.865
none,pol+deu+frk,2,1,36,2,0,0.25,-99.865
thresh,pol,2,1,36,2,0,0.25,-99.865
thresh,pol+deu+frk,2,1,36,2,0,0.25,-99.865
blur,pol,2,1,36,2,0,0.214,-99.962
none,frk,2,1,36,3,0,0.321,-101.295
thresh,frk,2,1,36,3,0,0.321,-101.295
