preprocess,lang,method,TP,FN,FP,perf_cases,sim_mean,ranking
blur,frk,1,24,1,2,12,0.83,70.88
blur,frk+deu,1,24,1,2,12,0.825,70.4
blur,pol+deu+frk,1,24,1,2,11,0.818,69.728
blur,frk+deu+pol,1,24,1,2,11,0.81,68.96
thresh,frk+deu,1,24,1,3,12,0.834,68.864
none,frk+deu,1,24,1,3,12,0.834,68.864
none,frk+deu+pol,1,24,1,3,12,0.818,67.328
none,pol+deu+frk,1,24,1,3,12,0.818,67.328
thresh,frk+deu+pol,1,24,1,3,12,0.818,67.328
thresh,pol+deu+frk,1,24,1,3,12,0.818,67.328
none,frk,1,24,1,4,12,0.836,66.656
thresh,frk,1,24,1,4,12,0.836,66.656
blur,pol+deu+frk,2,24,1,2,11,0.751,63.296
thresh,frk+deu,2,24,1,3,11,0.759,61.664
none,frk+deu,2,24,1,3,11,0.759,61.664
blur,frk,2,24,1,3,11,0.754,61.184
blur,frk+deu,2,24,1,3,11,0.751,60.896
none,frk+deu+pol,2,24,1,3,11,0.742,60.032
none,pol+deu+frk,2,24,1,3,11,0.742,60.032
thresh,frk+deu+pol,2,24,1,3,11,0.742,60.032
thresh,pol+deu+frk,2,24,1,3,11,0.742,60.032
blur,frk+deu+pol,2,24,1,3,10,0.737,59.552
blur,deu,1,24,1,3,4,0.732,59.072
thresh,frk,2,24,1,5,12,0.766,57.536
none,frk,2,24,1,5,12,0.766,57.536
none,deu,1,24,1,4,5,0.74,57.44
thresh,deu,1,24,1,4,5,0.74,57.44
blur,deu,2,24,1,2,4,0.665,55.04
none,deu,2,24,1,3,5,0.677,53.792
thresh,deu,2,24,1,3,5,0.677,53.792
blur,pol,1,24,1,2,1,0.651,53.696
none,pol,1,24,1,2,0,0.606,49.376
thresh,pol,1,24,1,2,0,0.606,49.376
blur,pol,2,24,1,3,1,0.595,45.92
none,pol,2,24,1,3,0,0.555,42.08
thresh,pol,2,24,1,3,0,0.555,42.08
