preprocess,lang,method,TP,FN,FP,perf_cases,sim_mean,ranking
blur,pol+deu+frk,2,19,1,6,14,0.915,63.925
blur,frk+deu+pol,2,19,1,6,13,0.91,63.45
blur,frk+deu,2,19,1,6,13,0.91,63.45
blur,frk,2,19,1,7,13,0.91,60.45
blur,deu,2,19,1,6,4,0.838,56.61
blur,deu,1,19,1,4,3,0.771,56.245
blur,pol+deu+frk,1,18,2,4,12,0.839,53.51
blur,frk+deu+pol,1,18,2,4,11,0.834,53.06
blur,frk+deu,1,18,2,4,11,0.834,53.06
blur,frk,1,18,2,5,11,0.833,49.97
none,frk+deu+pol,2,17,3,4,13,0.903,49.755
none,pol+deu+frk,2,17,3,4,13,0.903,49.755
thresh,frk+deu+pol,2,17,3,4,13,0.903,49.755
thresh,pol+deu+frk,2,17,3,4,13,0.903,49.755
none,frk+deu,2,17,3,5,13,0.903,46.755
thresh,frk+deu,2,17,3,5,13,0.903,46.755
none,frk+deu+pol,1,17,3,3,13,0.827,46.295
none,pol+deu+frk,1,17,3,3,13,0.827,46.295
none,frk+deu,1,17,3,3,13,0.827,46.295
thresh,frk+deu+pol,1,17,3,3,13,0.827,46.295
thresh,pol+deu+frk,1,17,3,3,13,0.827,46.295
thresh,frk+deu,1,17,3,3,13,0.827,46.295
none,frk,2,17,3,5,11,0.893,45.905
thresh,frk,2,17,3,5,11,0.893,45.905
none,frk,1,17,3,3,11,0.817,45.445
thresh,frk,1,17,3,3,11,0.817,45.445
blur,pol,1,19,1,4,2,0.655,45.225
none,deu,2,17,3,5,7,0.861,43.185
thresh,deu,2,17,3,5,7,0.861,43.185
none,deu,1,17,3,4,7,0.785,39.725
thresh,deu,1,17,3,4,7,0.785,39.725
none,pol,1,17,3,3,2,0.726,37.71
thresh,pol,1,17,3,3,2,0.726,37.71
blur,pol,2,19,1,6,2,0.628,36.66
none,pol,2,17,3,4,2,0.695,32.075
thresh,pol,2,17,3,4,2,0.695,32.075
