preprocess,lang,method,TP,FN,FP,perf_cases,sim_mean,ranking
blur,pol,1,21,9,4,7,0.754,14.78
blur,pol,2,21,9,4,7,0.754,14.78
none,frk+deu+pol,1,21,9,4,5,0.745,14.15
none,frk+deu+pol,2,21,9,4,5,0.745,14.15
thresh,frk+deu+pol,1,21,9,4,5,0.745,14.15
thresh,frk+deu+pol,2,21,9,4,5,0.745,14.15
none,frk,1,21,9,4,5,0.744,14.08
none,frk,2,21,9,4,5,0.744,14.08
thresh,frk,1,21,9,4,5,0.744,14.08
thresh,frk,2,21,9,4,5,0.744,14.08
none,pol,1,21,9,4,8,0.742,13.94
none,pol,2,21,9,4,8,0.742,13.94
thresh,pol,1,21,9,4,8,0.742,13.94
thresh,pol,2,21,9,4,8,0.742,13.94
none,pol+deu+frk,1,21,9,4,5,0.737,13.59
none,pol+deu+frk,2,21,9,4,5,0.737,13.59
thresh,pol+deu+frk,1,21,9,4,5,0.737,13.59
thresh,pol+deu+frk,2,21,9,4,5,0.737,13.59
none,deu,1,21,9,4,4,0.735,13.45
none,deu,2,21,9,4,4,0.735,13.45
none,frk+deu,1,21,9,4,4,0.735,13.45
none,frk+deu,2,21,9,4,4,0.735,13.45
thresh,deu,1,21,9,4,4,0.735,13.45
thresh,deu,2,21,9,4,4,0.735,13.45
thresh,frk+deu,1,21,9,4,4,0.735,13.45
thresh,frk+deu,2,21,9,4,4,0.735,13.45
blur,pol+deu+frk,1,21,9,4,5,0.727,12.89
blur,pol+deu+frk,2,21,9,4,5,0.727,12.89
blur,frk+deu+pol,1,21,9,4,4,0.726,12.82
blur,frk+deu+pol,2,21,9,4,4,0.726,12.82
blur,frk+deu,1,21,9,4,3,0.721,12.47
blur,frk+deu,2,21,9,4,3,0.721,12.47
blur,frk,1,21,9,4,4,0.719,12.33
blur,frk,2,21,9,4,4,0.719,12.33
blur,deu,1,21,9,4,1,0.708,11.56
blur,deu,2,21,9,4,1,0.708,11.56
