preprocess,lang,method,TP,FN,FP,perf_cases,sim_mean,ranking
blur,frk,1,20,2,0,10,0.933,75.727
thresh,frk,1,20,2,0,9,0.931,75.545
none,frk,1,20,2,0,9,0.931,75.545
none,frk+deu,1,20,2,0,10,0.925,75.0
thresh,frk+deu,1,20,2,0,10,0.925,75.0
blur,frk+deu+pol,1,20,2,1,13,0.951,74.636
blur,pol+deu+frk,1,20,2,1,13,0.951,74.636
none,frk+deu+pol,1,20,2,0,10,0.921,74.636
thresh,frk+deu+pol,1,20,2,0,10,0.921,74.636
blur,frk+deu,1,20,2,1,12,0.948,74.364
none,pol+deu+frk,1,20,2,0,10,0.914,74.0
thresh,pol+deu+frk,1,20,2,0,10,0.914,74.0
blur,deu,1,20,2,1,10,0.906,70.545
blur,pol,1,20,2,0,6,0.851,68.273
none,pol,1,20,2,0,4,0.833,66.636
thresh,pol,1,20,2,0,4,0.833,66.636
blur,frk,2,20,2,0,10,0.799,63.545
thresh,deu,1,20,2,4,10,0.906,62.364
none,deu,1,20,2,4,10,0.906,62.364
blur,pol,2,20,2,0,6,0.736,57.818
none,frk,2,19,3,0,8,0.784,54.073
thresh,frk,2,19,3,0,8,0.784,54.073
thresh,frk+deu+pol,2,19,3,0,9,0.776,53.382
none,frk+deu+pol,2,19,3,0,9,0.776,53.382
blur,frk+deu+pol,2,19,3,1,11,0.805,53.159
blur,pol+deu+frk,2,19,3,1,11,0.805,53.159
none,frk+deu,2,19,3,0,9,0.773,53.123
thresh,frk+deu,2,19,3,0,9,0.773,53.123
none,pol+deu+frk,2,19,3,0,9,0.769,52.777
thresh,pol+deu+frk,2,19,3,0,9,0.769,52.777
blur,frk+deu,2,19,3,1,11,0.8,52.727
none,pol,2,19,3,1,4,0.713,45.214
thresh,pol,2,19,3,1,4,0.713,45.214
blur,deu,2,19,3,3,9,0.756,43.473
none,deu,2,19,3,5,9,0.754,37.845
thresh,deu,2,19,3,5,9,0.754,37.845
