preprocess,lang,method,TP,FN,FP,perf_cases,sim_mean,ranking
thresh,frk,1,12,0,1,8,0.908,85.8
none,frk,1,12,0,1,8,0.908,85.8
none,frk+deu,1,12,0,1,8,0.904,85.4
thresh,frk+deu,1,12,0,1,8,0.904,85.4
none,frk+deu+pol,1,12,0,1,7,0.898,84.8
none,pol+deu+frk,1,12,0,1,7,0.898,84.8
thresh,frk+deu+pol,1,12,0,1,7,0.898,84.8
thresh,pol+deu+frk,1,12,0,1,7,0.898,84.8
blur,frk+deu+pol,1,12,0,1,3,0.857,80.7
blur,pol+deu+frk,1,12,0,1,3,0.857,80.7
none,deu,1,12,0,1,6,0.843,79.3
thresh,deu,1,12,0,1,6,0.843,79.3
blur,frk+deu,1,12,0,1,2,0.839,78.9
blur,frk,1,12,0,1,2,0.81,76.0
blur,deu,1,12,0,1,1,0.809,75.9
blur,pol,1,12,0,1,2,0.768,71.8
none,frk,2,12,0,3,8,0.863,71.3
thresh,frk,2,12,0,3,8,0.863,71.3
none,frk+deu,2,12,0,3,8,0.859,70.9
thresh,frk+deu,2,12,0,3,8,0.859,70.9
none,pol,1,12,0,1,4,0.759,70.9
thresh,pol,1,12,0,1,4,0.759,70.9
none,frk+deu+pol,2,12,0,3,7,0.852,70.2
none,pol+deu+frk,2,12,0,3,7,0.852,70.2
thresh,frk+deu+pol,2,12,0,3,7,0.852,70.2
thresh,pol+deu+frk,2,12,0,3,7,0.852,70.2
blur,pol+deu+frk,2,12,0,3,3,0.811,66.1
blur,frk+deu+pol,2,12,0,3,3,0.811,66.1
none,deu,2,12,0,3,6,0.802,65.2
thresh,deu,2,12,0,3,6,0.802,65.2
blur,frk+deu,2,12,0,3,2,0.794,64.4
blur,frk,2,12,0,3,2,0.768,61.8
blur,deu,2,12,0,3,1,0.764,61.4
blur,pol,2,12,0,3,2,0.734,58.4
none,pol,2,12,0,3,4,0.725,57.5
thresh,pol,2,12,0,3,4,0.725,57.5
