preprocess,lang,method,TP,FN,FP,perf_cases,sim_mean,ranking
blur,frk+deu+pol,1,13,0,0,8,0.93,93.0
blur,pol+deu+frk,1,13,0,0,8,0.93,93.0
blur,frk+deu,1,13,0,0,7,0.924,92.4
blur,deu,1,13,0,0,5,0.897,89.7
blur,frk,1,13,0,1,8,0.92,87.385
thresh,frk+deu+pol,2,13,0,1,8,0.906,85.985
none,frk+deu+pol,2,13,0,1,8,0.906,85.985
none,pol+deu+frk,2,13,0,1,8,0.903,85.685
thresh,pol+deu+frk,2,13,0,1,8,0.903,85.685
none,frk+deu,2,13,0,1,7,0.9,85.385
thresh,frk+deu,2,13,0,1,7,0.9,85.385
blur,frk+deu+pol,2,13,0,1,7,0.892,84.585
blur,pol+deu+frk,2,13,0,1,7,0.892,84.585
blur,frk+deu,2,13,0,1,6,0.886,83.985
blur,deu,2,13,0,1,4,0.858,81.185
thresh,frk,2,13,0,2,7,0.895,80.269
none,frk,2,13,0,2,7,0.895,80.269
blur,frk,2,13,0,2,7,0.881,78.869
none,deu,2,13,0,2,3,0.843,75.069
thresh,deu,2,13,0,2,3,0.843,75.069
blur,pol,1,13,0,0,3,0.71,71.0
none,pol,2,13,0,1,3,0.684,63.785
thresh,pol,2,13,0,1,3,0.684,63.785
blur,pol,2,13,0,1,2,0.672,62.585
none,frk+deu+pol,1,11,2,8,7,0.934,26.723
thresh,frk+deu+pol,1,11,2,8,7,0.934,26.723
thresh,pol+deu+frk,1,11,2,8,7,0.931,26.469
none,pol+deu+frk,1,11,2,8,7,0.931,26.469
thresh,frk+deu,1,11,2,8,6,0.928,26.215
none,frk+deu,1,11,2,8,6,0.928,26.215
none,deu,1,11,2,9,4,0.902,19.4
thresh,deu,1,11,2,9,4,0.902,19.4
none,frk,1,11,2,10,6,0.922,16.477
thresh,frk,1,11,2,10,6,0.922,16.477
none,pol,1,11,2,8,4,0.763,12.254
thresh,pol,1,11,2,8,4,0.763,12.254
