name,TP,FN,FP,perf_cases,sim_mean,ranking
p0045,28,2,5,4,0.67,45.867
p0089,12,0,3,4,0.725,57.5
p0138,13,0,1,3,0.684,63.785
p0154,36,4,0,1,0.586,42.74
p0289,15,12,3,0,0.613,-17.056
p0394,24,1,3,0,0.555,42.08
p0513,17,3,4,2,0.695,32.075
p0515,9,17,1,1,0.618,-46.3
p0569,1,36,2,0,0.25,-99.865
p0657,19,3,1,4,0.713,45.214
p0730,24,9,7,4,0.699,10.836
p0788,21,9,4,8,0.742,13.94
total,219,96,34,31,0.655,8.586
