level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,16,1,1,1,1262,2099,160,78,43,Ęu›
5,1,16,2,1,1,1328,2231,360,46,0,Wicariengennd
5,1,16,3,1,1,1330,2375,172,44,68,Wictor
5,1,16,4,1,1,1331,2475,392,46,13,Wictortretihant
5,1,16,5,1,1,1335,2576,374,43,35,Wiedweidnelihie
5,1,16,6,1,1,1335,2676,188,43,75,Wichau
5,1,16,7,1,1,1330,3309,340,43,81,Hohenvorwert
5,1,11,1,1,1,1340,259,158,38,18,Vaescot
5,1,11,2,1,1,1339,304,165,35,65,Vehilsko
5,1,11,3,1,1,1339,396,139,33,84,Vconar
5,1,11,4,1,1,1340,486,150,34,85,Vdanyn
5,1,11,5,1,1,1340,576,168,35,60,Vegbiirel
5,1,11,6,1,1,1337,664,136,41,70,Vetono
5,1,11,7,1,1,1330,706,387,44,54,WYerlorenwafier
5,1,11,8,1,1,1331,1066,100,41,60,Anth.
