level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,2,1,1,1,223,273,78,33,80,Amt
5,1,2,2,1,1,310,2475,325,46,21,Gifenbharnnier
5,1,2,3,1,1,313,2927,328,44,36,Gifjenbamnier
5,1,4,2,1,1,1326,348,375,48,42,Gifenhardsdorf
5,1,4,3,1,1,1327,392,481,50,63,Gifenbiittenvoorwert
5,1,4,4,1,1,1330,537,176,34,85,Eisenhut
5,1,4,5,1,1,1330,625,283,37,78,Kisenrichsdorf
5,1,4,6,1,1,1332,666,280,46,65,Gifermiible
5,1,4,7,1,1,1334,757,256,45,29,Gifce8dorf
5,1,4,13,1,1,1356,3008,259,49,41,Gifer$dorf
5,1,4,14,1,1,1354,3104,135,34,47,Ekardi
5,1,4,15,1,1,1353,3147,327,38,42,HEkkebrechsheyde
5,1,4,16,1,1,1355,3240,273,36,68,Ekkhardsdorff
5,1,4,17,1,1,1357,3277,333,48,0,GIbel:Antbeil
