name,TP,FN,FP,perf_cases,sim_mean,ranking
p0045,28,2,5,15,0.858,63.413
p0089,12,0,3,7,0.852,70.2
p0138,13,0,1,8,0.906,85.985
p0154,35,5,1,11,0.769,53.288
p0289,15,12,4,8,0.83,-7.222
p0394,24,1,3,11,0.742,60.032
p0513,17,3,4,13,0.903,49.755
p0515,9,17,1,4,0.78,-40.692
p0569,1,36,2,0,0.286,-99.768
p0657,19,3,0,9,0.776,53.382
p0730,24,9,8,7,0.816,17.527
p0788,21,9,4,5,0.745,14.15
total,218,97,36,98,0.807,18.199
