name,TP,FN,FP,perf_cases,sim_mean,ranking
p0045,29,1,4,10,0.798,69.14
p0089,12,0,3,2,0.82,67.0
p0138,13,0,1,4,0.882,83.585
p0154,38,2,0,7,0.729,69.255
p0289,21,6,4,4,0.792,52.711
p0394,24,1,2,8,0.851,76.896
p0513,17,3,8,4,0.87,49.95
p0515,19,7,2,5,0.832,56.185
p0569,1,36,2,0,0.727,-1.278
total,174,56,26,44,0.808,54.344
