name,TP,FN,FP,perf_cases,sim_mean,ranking
p0045,28,2,3,14,0.732,55.653
p0089,12,0,1,7,0.898,84.8
p0138,11,2,8,7,0.934,26.723
p0154,29,11,0,14,0.936,40.36
p0289,15,12,3,8,0.606,-17.444
p0394,24,1,3,12,0.818,67.328
p0513,17,3,3,13,0.827,46.295
p0515,14,12,0,7,0.752,-5.662
p0569,13,24,1,5,0.827,-37.43
p0657,20,2,0,10,0.921,74.636
p0730,24,9,7,8,0.9,25.455
p0788,21,9,4,5,0.834,20.38
total,228,87,33,110,0.835,26.533
