name,TP,FN,FP,perf_cases,sim_mean,ranking
p0045,28,2,3,12,0.721,54.627
p0089,12,0,1,8,0.904,85.4
p0138,11,2,8,6,0.928,26.215
p0154,29,11,0,14,0.937,40.433
p0289,15,12,4,9,0.614,-19.222
p0394,24,1,3,12,0.834,68.864
p0513,17,3,3,13,0.827,46.295
p0515,14,12,0,5,0.729,-6.9
p0569,13,24,1,7,0.846,-36.762
p0657,20,2,0,10,0.925,75.0
p0730,24,9,7,6,0.885,24.364
p0788,21,9,4,4,0.825,19.75
total,228,87,34,106,0.833,26.198
