name,TP,FN,FP,perf_cases,sim_mean,ranking
p0045,28,2,3,11,0.853,73.613
p0089,12,0,1,9,0.922,87.2
p0138,11,2,10,3,0.881,28.392
p0154,29,11,0,10,0.741,53.723
p0289,15,12,4,6,0.845,38.056
p0513,17,3,3,11,0.932,70.22
p0515,14,12,0,4,0.871,46.9
total,126,42,21,54,0.848,56.1
