name,TP,FN,FP,perf_cases,sim_mean,ranking
p0045,28,2,3,4,0.67,49.867
p0089,12,0,1,4,0.725,67.5
p0138,11,2,8,3,0.718,8.446
p0154,30,10,0,1,0.583,18.725
p0289,15,12,2,0,0.613,-14.833
p0394,24,1,2,0,0.555,44.48
p0513,17,3,3,2,0.695,35.075
p0515,14,12,0,5,0.748,-5.877
p0569,13,24,1,1,0.65,-43.649
p0657,20,2,0,4,0.724,56.727
p0730,24,9,7,4,0.699,10.836
p0788,21,9,4,8,0.742,13.94
total,229,86,31,36,0.668,15.356
