level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,2,8,1,1,274,1669,293,46,55,Neufcndorf
5,1,7,1,1,1,1309,1884,59,25,62,en.
5,1,7,1,2,1,1323,1919,158,41,17,Ribmich
5,1,7,1,3,1,1323,1966,228,39,63,Richenbach
5,1,7,1,7,1,1322,2142,203,43,49,Kichinowe
5,1,7,1,9,1,1319,2237,176,33,82,Hichinow
5,1,7,1,11,1,1319,2327,176,40,20,Richnowc
5,1,7,1,13,1,1322,2417,191,40,31,Bichnowe
5,1,7,1,17,1,1322,2596,219,36,35,IRieclhtal
5,1,7,1,18,1,1319,2638,330,47,18,Widhtermiihile
5,1,7,1,20,1,1318,2729,315,46,30,Nidhtersdorf
5,1,7,1,29,1,1319,3135,405,49,29,Nidhthofenshohe
5,1,7,1,31,1,1308,3194,148,77,55,!)Biczin
5,1,7,1,32,1,1318,3273,233,43,36,Wioultau
