level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,4,1,1,1,293,651,418,39,50,Żablków ii Jablow
5,1,4,2,1,1,295,762,133,36,50,Zabiat
5,1,4,3,1,1,293,852,157,39,45,Zabloto
5,1,4,4,1,1,293,936,185,47,26,Zabnig
5,1,4,5,1,1,292,1039,401,35,58,Zalnelk ist 3tobnig
5,1,4,6,1,1,293,1089,122,39,90,Zabor
5,1,4,7,1,1,292,1141,248,41,57,Zahboree
5,1,4,8,1,1,293,1547,227,42,43,sDoremba
5,1,4,9,1,1,292,1603,214,42,64,Zalbrze
5,1,4,10,1,1,295,2453,627,39,40,Gwozdek ober DammerFretfdham
5,1,4,11,1,1,295,2559,213,43,84,Zabrze
5,1,4,12,1,1,296,2650,218,41,43,Załirze
5,1,4,13,1,1,295,3102,174,41,84,3abrze
5,1,6,5,1,1,1348,574,249,43,15,Zalbrzeg
5,1,6,6,1,1,1343,981,242,40,91,Zabrzeg
5,1,6,7,1,1,1342,1432,201,41,54,Wygodba
5,1,6,8,1,1,1343,1524,221,40,89,Zacchericz
5,1,6,9,1,1,1342,1613,259,38,41,Zachaniowite
5,1,6,10,1,1,1340,1699,306,47,22,Zadarzowik
5,1,6,11,1,1,1336,2151,298,43,80,Zachciala
5,1,6,12,1,1,1338,2292,443,36,66,Zachery audy Oppirschicz
5,1,6,13,1,1,1342,2379,168,38,77,Zacheris
5,1,6,14,1,1,1343,2469,251,31,88,Zachinkirche.
5,1,6,15,1,1,1347,2607,161,36,84,Zachror
5,1,6,16,1,1,1344,2691,319,45,47,Sadenbdufcr
