name,TP,FN,FP,perf_cases,sim_mean,ranking
p0045,28,2,5,12,0.857,69.987
p0089,12,0,3,9,0.918,76.8
p0138,13,0,1,3,0.899,85.285
p0154,35,5,2,9,0.755,63.062
p0289,15,12,4,6,0.848,38.222
p0513,17,3,5,13,0.942,65.07
p0515,9,17,1,4,0.893,28.604
total,129,39,21,56,0.852,57.921
