name,TP,FN,FP,perf_cases,sim_mean,ranking
p0045,29,1,4,12,0.82,67.933
p0089,12,0,3,2,0.768,61.8
p0138,13,0,2,2,0.838,74.569
p0154,38,2,0,11,0.777,68.815
p0289,21,6,4,12,0.84,34.222
p0394,24,1,3,10,0.742,60.032
p0513,19,1,7,11,0.901,59.595
p0515,21,5,1,5,0.705,35.404
p0569,1,36,2,0,0.321,-99.673
p0657,20,2,0,9,0.784,62.182
p0730,12,21,3,4,0.871,-37.418
p0788,21,9,4,4,0.719,12.33
total,231,84,33,82,0.789,24.908
