name,TP,FN,FP,perf_cases,sim_mean,ranking
p0045,28,2,5,13,0.855,63.133
p0089,12,0,3,8,0.863,71.3
p0138,13,0,2,7,0.895,80.269
p0154,35,5,2,12,0.788,53.45
p0289,15,12,5,9,0.839,-8.944
p0394,24,1,5,12,0.766,57.536
p0513,17,3,5,11,0.893,45.905
p0515,9,17,1,2,0.733,-42.319
p0569,1,36,3,0,0.321,-101.295
p0657,19,3,0,8,0.784,54.073
p0730,24,9,8,6,0.802,16.509
p0788,21,9,4,5,0.744,14.08
total,218,97,43,93,0.809,17.004
