name,TP,FN,FP,perf_cases,sim_mean,ranking
p0045,28,2,3,11,0.825,64.333
p0089,12,0,1,8,0.863,81.3
p0138,11,2,10,3,0.847,10.131
p0154,29,11,0,10,0.74,26.15
p0289,15,12,4,7,0.827,-7.389
p0394,24,1,4,11,0.754,58.784
p0513,17,3,3,10,0.888,51.48
p0515,14,12,0,4,0.802,-2.969
p0569,12,25,2,5,0.772,-45.773
p0657,20,2,0,8,0.789,62.636
p0730,24,9,7,4,0.788,17.309
p0788,21,9,4,5,0.744,14.08
total,227,88,38,86,0.796,22.188
