name,TP,FN,FP,perf_cases,sim_mean,ranking
p0045,29,1,4,8,0.794,68.753
p0089,12,0,3,4,0.867,71.7
p0138,13,0,1,4,0.896,84.985
p0154,38,2,0,12,0.774,73.53
p0289,21,6,4,10,0.853,57.456
p0394,24,1,2,16,0.932,84.672
p0513,17,3,8,12,0.944,56.24
p0515,19,7,2,7,0.882,59.838
p0569,1,36,2,0,0.727,-1.278
total,174,56,26,73,0.852,57.673
