name,TP,FN,FP,perf_cases,sim_mean,ranking
p0045,28,2,3,12,0.857,73.987
p0089,12,0,1,9,0.918,86.8
p0138,11,2,8,3,0.895,38.808
p0154,29,11,0,9,0.729,52.852
p0289,15,12,3,6,0.848,40.444
p0513,17,3,3,13,0.942,71.07
p0515,14,12,0,6,0.905,48.731
total,126,42,18,58,0.852,57.471
