name,TP,FN,FP,perf_cases,sim_mean,ranking
p0045,28,2,4,9,0.678,48.613
p0089,12,0,1,1,0.809,75.9
p0138,13,0,0,5,0.897,89.7
p0154,36,4,0,8,0.879,69.11
p0289,21,6,2,4,0.828,37.733
p0394,24,1,3,4,0.732,59.072
p0513,19,1,4,3,0.771,56.245
p0515,25,1,0,4,0.657,59.327
p0569,12,25,1,5,0.833,-42.173
p0657,20,2,1,10,0.906,70.545
p0730,13,20,2,2,0.825,-31.742
p0788,21,9,4,1,0.787,17.09
total,244,71,22,56,0.792,34.618
