name,TP,FN,FP,perf_cases,sim_mean,ranking
p0045,28,2,3,4,0.677,57.187
p0089,12,0,1,4,0.775,72.5
p0138,11,2,8,3,0.746,26.2
p0154,30,10,0,1,0.583,43.725
p0289,15,12,2,0,0.658,32.111
p0394,24,1,2,3,0.73,65.28
p0513,17,3,3,2,0.716,51.86
p0515,14,12,0,6,0.832,44.8
p0569,13,24,1,1,0.745,24.554
total,164,66,20,24,0.7,44.696
