name,TP,FN,FP,perf_cases,sim_mean,ranking
p0045,28,2,6,8,0.791,55.16
p0089,12,0,3,6,0.802,65.2
p0138,13,0,2,3,0.843,75.069
p0154,35,5,1,6,0.699,47.163
p0289,15,12,4,4,0.761,-11.056
p0394,24,1,3,5,0.677,53.792
p0513,17,3,5,7,0.861,43.185
p0515,9,17,1,2,0.688,-43.877
p0569,1,36,2,0,0.286,-99.768
p0657,19,3,5,9,0.754,37.845
p0730,25,8,6,5,0.75,21.667
p0788,21,9,4,4,0.735,13.45
total,219,96,42,59,0.751,13.736
