name,TP,FN,FP,perf_cases,sim_mean,ranking
p0045,29,1,4,12,0.845,70.35
p0089,12,0,3,2,0.794,64.4
p0138,13,0,1,6,0.886,83.985
p0154,38,2,0,18,0.808,71.76
p0289,21,6,4,11,0.825,33.056
p0394,24,1,3,11,0.751,60.896
p0513,19,1,6,13,0.91,63.45
p0515,20,6,1,10,0.788,35.231
p0569,1,36,2,0,0.286,-99.768
p0657,19,3,1,11,0.8,52.727
p0730,12,21,3,5,0.874,-37.309
p0788,21,9,4,3,0.721,12.47
total,229,86,32,102,0.811,25.562
