name,TP,FN,FP,perf_cases,sim_mean,ranking
p0045,28,2,3,8,0.704,53.04
p0089,12,0,1,3,0.857,80.7
p0138,13,0,0,8,0.93,93.0
p0154,36,4,0,22,0.955,75.95
p0289,21,6,2,11,0.706,28.244
p0394,24,1,2,11,0.81,68.96
p0513,18,2,4,11,0.834,53.06
p0515,25,1,0,12,0.685,62.019
p0569,12,25,0,4,0.83,-40.649
p0657,20,2,1,13,0.951,74.636
p0730,13,20,2,5,0.87,-29.97
p0788,21,9,4,4,0.815,19.05
total,243,72,19,112,0.824,37.09
