level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,3,6,1,1,278,1784,303,46,50,Senfersdvrf
5,1,3,7,1,1,275,1832,263,42,89,Seyfredisdorf
5,1,3,8,1,1,273,1924,197,31,89,Sei endorff
5,1,3,9,1,1,271,2021,254,46,0,Sąorfelli
5,1,3,10,1,1,274,2486,154,39,51,Sheditz
5,1,3,11,1,1,274,2532,190,39,54,Shutilowe
5,1,3,12,1,1,274,2621,562,35,58,Siadła Góra iff Gdabegur
5,1,3,13,1,1,278,2711,561,36,76,Sialkowice ijt Gdalfowig
5,1,3,14,1,1,279,2757,696,35,29,Siamaarzowiee ist GSdammerwiż
5,1,3,15,1,1,284,2855,227,46,43,Sibifchau
5,1,3,16,1,1,280,3275,224,40,86,Sibotendorf
5,1,7,2,1,1,1325,1193,427,42,81,Sidłów ist Gdicblow
5,1,7,3,1,1,1325,1244,316,43,13,Siebencichen
5,1,7,6,1,1,1325,2231,328,45,52,Giebenhóufer
5,1,7,7,1,1,1322,2320,329,45,52,Siebeubhdufer
5,1,7,8,1,1,1326,2460,243,37,68,Siebenhuben
5,1,7,9,1,1,1326,2591,312,46,51,Giebenbufen
5,1,7,10,1,1,1326,2727,305,45,62,Stebenbufeu
5,1,7,11,1,1,1325,2818,305,44,78,Stebenbufen
5,1,7,13,1,1,1323,3221,308,47,15,Siebenhufen
