level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,2,2,1,1,279,455,292,45,51,%faffcnbort
5,1,2,3,1,1,287,770,286,47,6,Qfaffendorf
5,1,2,4,1,1,288,909,100,42,43,nth.
5,1,2,5,1,1,281,1495,101,41,30,Anth.
5,1,2,7,1,1,284,1940,285,46,57,%faffmbvrf
5,1,2,8,1,1,251,2034,574,42,72,oft Krft. Kónigl. Nent:X. Striegau
5,1,2,9,1,1,284,2572,284,45,0,Yraffendorf
5,1,4,2,1,1,1330,412,254,43,34,Selbhdufer
5,1,4,4,1,1,1330,679,332,46,0,Pfaffeumiihie
5,1,4,5,1,1,1330,949,291,49,55,%Tancmtctg
5,1,4,6,1,1,1329,1041,285,45,60,%faftmborf
5,1,4,7,1,1,1330,1086,268,44,14,WprfarrdcFer
5,1,4,8,1,1,1331,1310,297,45,0,Rfarrmiible
5,1,4,9,1,1,1332,1400,291,46,0,Pfarrogącu
5,1,4,10,1,1,1352,1710,416,56,15,"Ppfeilgut, ober %eberbof"
5,1,4,11,1,1,1340,1805,420,43,0,Jfeil: ober Geiermiihie
5,1,4,12,1,1,1336,1895,336,44,14,ilaumendorf
5,1,4,13,1,1,1332,2298,372,46,55,%bth;›;›menbof
5,1,4,14,1,1,1332,2388,287,47,3,Philippolis
5,1,4,15,1,1,1336,2479,323,46,14,Pbilipp$oorf
5,1,4,16,1,1,1332,2840,309,45,20,Wpbiippsfelb
5,1,4,17,1,1,1330,2935,228,39,86,Phaffendorf
5,1,4,18,1,1,1331,3021,290,44,22,Wiadauichfe
