name,TP,FN,FP,perf_cases,sim_mean,ranking
p0045,28,2,3,1,0.641,53.827
p0089,12,0,1,2,0.776,72.6
p0138,13,0,0,2,0.695,69.5
p0154,36,4,0,0,0.541,48.69
p0289,20,7,2,0,0.57,37.778
p0394,24,1,2,4,0.768,68.928
p0513,19,1,4,0,0.602,45.19
p0515,25,1,1,4,0.748,69.615
p0569,12,25,0,2,0.739,23.968
total,189,41,13,15,0.659,50.761
